,ref_id,client_division,description,vendor,contract_value,contract_date,type,date_won,currency
965,9914,Office of Emergency Management,"For the provision of the Emergency Services for Comprehensive Emergency Social Services Support -,Multiple Emergency Events",CANADIAN RED CROSS SOCIETY,354356.26,06/19/2019,non-competitive,,CAD
2041,8333,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013.",Vasco Paving Ltd.,352800.0,02/11/2014,non-competitive,,CAD
303,11357,Information & Technology,"For the provision of software support and maintenance for the period from January 1, 2021 to December 31, 2021, all in accordance with the Oracle License and Services Agreement dated January 1, 2013 and renewal order support service #13344522 dated December 7, 2020.",Oracle Canada Ulc,350825.71,04/12/2021,non-competitive,,CAD
1562,GM8.8,Information & Technology,"Amended PO to add line item 90 in the amount of $350,350.00, net of all taxes and charges, for SharePoint ASAS all in accordance with the Statement of Work and Work Order dated October 27, 2016.  Total value of purchase order is increased from $587,370.00 to $937,720.00, net of all taxes and charges.",Microsoft Canada Inc.,350350.0,11/09/2016,non-competitive,,CAD
51,SR3229395569 WS3232638724,Public Health,"For the non-exclusive supply of services including contract security guard service, housekeeping & custodial, and waste removal for the TPH Covid-19 immunization clinic located at Toronto Congress Centre.",THE CONGRESS CENTRES INC,350177.25,11/26/2021,non-competitive,,CAD
1512,8932,Toronto Water,"For the Repairs of Water and Sewer Connections, Mains and Appurtenances - North York District, from the date of award from January 1, 2017 to February 1, 2017.",Finch Paving Inc.,350000.0,01/05/2017,non-competitive,,CAD
791,10249,Facilities Operations,"For the supply of all labour, materials, equipment, products and supervision necessary for the maintenance of Water Chillers and Cooling Towers as and when required from January 1, 2020 to July 31, 2020.",Carmichael Engineering Ltd,350000.0,01/01/2020,non-competitive,,CAD
2207,8180,Facilities Operations,"For the supply of all labour, equipment, materials necessary for Plumbing and Mechanical Services for maintenance, preventative maintenance, emergency and other work as required to various City of Toronto locations, for the period from July 16, 2013 to October 31, 2013.",Active Mechanical,350000.0,07/16/2013,non-competitive,,CAD
386,11516,Toronto Water,"For the provision of the supply and delivery of proprietary Original Equipment Manufacturing (OEM) parts and specialized services for equipment repair and maintenance at the Humber Wastewater Treatment Plant for the period from February 1, 2021 to February 1, 2022, with the option to renew for an additional four (4) one (1) year periods at the City's sole discretion; all in accordance with the Agreement effective February 1, 2021.",Toromont,350000.0,02/01/2021,non-competitive,,CAD
1863,GM32.20,Information & Technology,"Amendment - To increase the Purchase Order value by $349,995.36 (exclusive of taxes) to cover the CSDC Software Support & Maintenance pro-rated period 3-Jul-14 to 31-Oct-14 and 2015 period from November 1, 2014 to October 31, 2015",CSDC SYSTEMS INC,349995.36,10/08/2014,non-competitive,,CAD
794,10244,Environment & Energy Office,"For the provision of services for maintenance, hosting and updates to the Live Green Program's database, website and mobile applications for the period from January 7, 2020 to December 31, 2021.",Turnbull & Company International Inc,347584.0,02/10/2020,non-competitive,,CAD
2092,8315,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013",MULTIBOBCAT SERVICES LTD,347424.0,01/16/2014,non-competitive,,CAD
312,11279,Information & Technology,"For the provision of software support and maintenance for the period from January 1, 2021 to December,31, 2021, all in accordance with the Amending Agreement dated November 20, 2019.",Calytera Software Inc,347015.88,12/31/2020,non-competitive,,CAD
632,10901,Fleet Services,"Renewal - For the supply and delivery of labour, materials and equipment necessary to provide overflow warranty and non-warranty Original Equipment Manufacturer (OEM) authorized parts and services for Labrie, Vactor, Elgin, Trackless, Epoke and Madvac equipment as and when required by the City of Toronto, Fleet Services Division",JOE JOHNSON EQUIPMENT,345686.54,08/21/2020,non-competitive,,CAD
1919,8413,"Parks, Forestry & Recreation","Amendment to increase the target value of the contract by $343,824.00 net of all taxes and charges, and to extend the validity end date of the contract from March 13, 2014 to June 30, 2014 for emergency work as part of the Debris Management Plan for the Ice Storm on December 21 & 22, 2013.",IL DUCA CONTRACTING INC,343824.0,05/22/2014,non-competitive,,CAD
1926,GM26.12,Information & Technology,Amended PO for 2014/2015 Software Premier Support Services and Fees.,MICROSOFT CANADA INC,343440.0,05/01/2014,non-competitive,,CAD
640,10630,Toronto Water,"For the provision of the supply scheduled maintenance services, emergency services and parts for the Bosker ® automatic rakes at Ashbridges Bay Treatment Plant (ABTP)",OVIVO INC,343271.93,08/18/2020,non-competitive,,CAD
2134,8285,Solid Waste Management Services,"For the Emergency supply of two (2) operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013",BURL-OAK PAVING LTD,342720.0,01/17/2014,non-competitive,,CAD
1733,GM32.20 and GM16.5,Information & Technology,"Purchase Order value has been increased by $341,705.09, exclusive of all taxes and charges, from $1,093,044.15 to now read as $1,434,749.24, exclusive of all taxes and charges, for the provision of Software Licence Maintenance, Application Maintenance, user and upgrade support for software and integrated software for the period from July 1, 2015 to June 30, 2016.",Active Network Ltd.,341705.09,07/01/2015,non-competitive,,CAD
87,SR3192826608 WS3206276960,Real Estate Services,"For the supply, delivery, installation, and removal of Christmas Trees at City Hall, Scarborough Civic,Centre, and the East York Civic Centre",WM WELLER TREE SERVICE LTD,341550.32,11/01/2021,non-competitive,,CAD
45,WS3234300405,Chief Financial Officer,"For the consulting services to assist the City in connection with a proposed reorganization or transfer of certain District Energy assets held by Toronto Community Housing Corporation and its subsidiaries to another entity controlled by the City for the City of Toronto's Office of the Chief Financial Officer from date of award to February 28, 2022",Ernst & Young LLP,341250.0,12/10/2021,non-competitive,,CAD
537,10916,Information & Technology,For provision of the acquisition of DocuSign (electronic signature) Subscriptions and Professional Services for Emergency Operations COVID-19 Pandemic Response and Recovery,DOCUSIGN INC,341054.8,11/18/2020,non-competitive,,CAD
2035,8355,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013.",Fowler Construction Company,340870.0,02/11/2014,non-competitive,,CAD
2050,8358,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to perform work on the Temporary Debris Storage and Reduction Site Operations at Ontario Place -Lot 3 as part of the Debris Management Plan due to the Ice Storm on December 21 & 22, 2013",MIWEL CONSTRUCTION LTD,339423.75,02/07/2014,non-competitive,,CAD
2080,8304,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013.",Four By Eight Sign Service Inc.,339360.0,01/29/2014,non-competitive,,CAD
590,10762,Purchasing & Materials Management,"AMENDMENT #4 - July 15, 2020  Corrected price on Line Item 30 from $8,150 to $8,183 as per Option Year renewal and signed Legal Agreement dated June 22, 2018.,AMENDMENT #3 - May 27, 2020 - Option Year 2 Renewal (NCPR 10762),Increased the target value by $97,800.00 from $240,600.00 to $338,400.00 net of all taxes and extended the validity date to May 31, 2021, exercising the second option to renew contract. All other terms and conditions remain unchanged.",AJ STONE COMPANY LTD,338400.0,09/22/2020,non-competitive,,CAD
2228,8156,Engineering & Construction Services - Engineering Services,"Provision of Contracted Professional Services for pre-design and detailed design services, contract administration and post construction services for the repair of the main deck of F.G. Gardiner Expressway between Jarvis St and Don Roadway.",McCormick Rankin Corporation,336645.0,04/12/2013,non-competitive,,CAD
1695,GM8.8,Information & Technology,"Annual support and maintenance for Amanda software during the period November 1, 2015 to December 31, 2015.",CSDC Systems Inc,336375.31,12/29/2015,non-competitive,,CAD
2056,8328,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013",A I ROADTECH SERVICES INC,336000.0,01/18/2014,non-competitive,,CAD
427,11407,Solid Waste Management Services,"AMENDMENT NO. 2 - January 13, 2021 (NCPR 11407),Increased the target value of the contract by $90,000.00 to $335,800.00 (exclusive of taxes) and extended,the validity date to April 30, 2021. All pricing and terms and conditions remain the same.",GREEN MAPLES ENVIRONMENTAL INC,335800.0,01/13/2021,non-competitive,,CAD
857,GL8.13,Fleet Services,"For the supply and delivery of labour, materials and equipment necessary to provide overflow warranty and non-warranty Original Equipment Manufacturer (OEM) authorized parts and services for Labrie, Vactor, Elgin, Trackless, Epoke and Madvac equipment as and when required by the City of Toronto, Fleet Services Division for a period of one (1) year, from November 1, 2019 to October 31, 2020, with the option to renew the contract for four (4) additional separate one (1) year periods, all in accordance with the Legal Agreement dated November 1, 2019.",JOE JOHNSON EQUIPMENT,335618.0,12/05/2019,non-competitive,,CAD
1514,GM8.8,Information & Technology,"Provision of Software Licence Maintenance, Application Maintenance, user and upgrade support for software and integrated software for the period from July 1, 2016 to June 30, 2017.",The Active Network Ltd.,334653.16,01/04/2017,non-competitive,,CAD
736,10573,Facilities Operations,"Amendment - For the provision of the non-exclusive supply of all labour, material, including truck charges, products, supervision for the inspection, testing, maintenance and repairs to the Fire Alarm, Sprinkler and Standpipe Systems for City of Toronto Schedule D (St. Lawrence Market & Union Station)","CHUBB EDWARDS, UTC FIRE & SECURITY",334000.0,06/16/2020,non-competitive,,CAD
809,10309,Long-Term Care Homes & Services,"For the provision of Food Laboratory Service and Inspection Services at various Long Term Care Homes,and Services locations within the City of Toronto",BUREAU VERITAS CANADA (2019) INC,333156.0,02/18/2020,non-competitive,,CAD
516,11248,Public Health,"AUTHORITY: GL16.5 adopted on October 27th, 2020.,For the maintenance and support of Amanda#s CSDC software database tool used to create the Toronto Healthy Environment Information System (THEIS) and to support inspections related functions within Public Health#s programs. All in accordance with the signed agreement between the city of Toronto and CSDC systems dated February 1, 1999 and amending agreement dated November 5, 2010 and quotation covering the renewals periods from January 1, 2021 to December 31, 2025.","CALYTERA SOFTWARE, INC",332042.44,11/26/2020,non-competitive,,CAD
14,"SR3150292769, WS3156656360",Transportation Services,"For the non-exclusive supply, supply of all labour, parts, materials, insurance, travel time, mileage, services, supplies, tools, apparatus, transportation, equipment and incidentals required to provide all operations necessary for the preventative maintenance to maintain/repair/replacement for five (5) existing RWIS (Road Weather Information Systems).",DTN Canada Inc.,331281.26,01/27/2022,non-competitive,,CAD
365,11523,Transportation Services,Annual AGL Support services for Street Furniture Asset Management  System,APPLIED GEOLOGICS INC,330575.59,02/25/2021,non-competitive,,CAD
1974,GM32.20 and GM16.5,Toronto Water,"Amendment - To increase the Purchase Order value by $329,978.38(exclusive of taxes) for the provision of Software Support and Maintenance Services during the period from April 1, 2014 to March 31, 2015",GE INTELLIGENT PLATFORMS CANADA,329978.38,03/31/2014,non-competitive,,CAD
2163,GM 32.20,Fire Services,Amendment to Blanket Contract for the 4th year software maintenance.,Intergraph Canada Ltd.,326760.0,01/01/2014,non-competitive,,CAD
2408,Doc2920792842,Fire Services,"Request for Quotations for Body Remanufacturing, Repairs and Fabrication Work for Fire Fighting Apparatus",Dependable Truck & Tank,325418.0,,competitive,11/07/2021,CAD
2414,Doc2989787544,Fleet Services,Request for Quotations for One (1) Latest Compact Street Sweeper,Cubex Ltd,325133.25,,competitive,10/07/2021,CAD
2186,GM32.20,Information & Technology,"Amendment - To increase the Purchase Order value by $325,000(exclusive of taxes) for IBM Hardware annual Support & Maintenance during the period from Januaryv1, 2014 to December 31, 2014",IBM CANADA LTD,325000.0,09/13/2013,non-competitive,,CAD
344,11522,Transportation Services,"For the provision of the five (5) Year OMS  S,Subscription Renewal for use within the Street Events and Rights of Way Program",APPLIED GEOLOGICS INC,324630.83,03/10/2021,non-competitive,,CAD
1411,9053,"Parks, Forestry & Recreation","For the provision of the non-exclusive supply of all labour, equipment and material necessary to perform Tree Pruning and Removal at various locations for the Parks, Forestry and Recreation Division, as and when required for the period from July 26, 2017 to August 11, 2017, all in accordance with the terms and conditions in the RFQ 3701-16-0139.",WM Weller Tree Service Ltd.,324565.0,07/25/2017,non-competitive,,CAD
1917,8435,"Parks, Forestry & Recreation","Amendment to increase the target value of the contract by $324,360.00 net of all taxes and charges for emergency work as part of the Debris Management Plan for the Ice Storm on December 21 & 22, 2013.",MICONI CONSTRUCTION LTD,324360.0,04/29/2014,non-competitive,,CAD
226,11677,Solid Waste Management Services,To provide consultant services for a review of the Solid Waste Utility Rate Program.,FCS GROUP SOLUTIONS-ORIENTED CONSUL,323955.0,06/01/2021,non-competitive,,CAD
2088,8321,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013.",Marcus Contracting,322560.0,01/29/2014,non-competitive,,CAD
2085,8313,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013.",Amir Tree Service,322560.0,01/29/2014,non-competitive,,CAD
1149,GM8.8,Engineering & Construction Services - Engineering Services,"Amendment # 3 - For the provision of Bentley Enterprise Software Annual MLS Maintenance for the period from January 1, 2019 to December 31, 2019, ",BENTLEY SYSTEMS INC,319991.27,12/03/2018,non-competitive,,CAD
1578,GM8.8,Information & Technology,"Provision of Software Maintenance Services for the Solid Waste Management Services Division, Parks, Forestry & Recreation Division and the Transportation Services Division for the period from August 1, 2016 to July 31, 2019.",Uniface BV,319950.95,08/01/2016,non-competitive,,CAD
2326,Doc2969200359,Transportation Services,Request for Tender for permanent restoration of utility cuts and maintenance repairs (21TR-OM-122-SC-TU),PTR PAVING INC,319250.0,,competitive,07/20/2021,CAD
2409,Doc3027800964,Fire Services,Toronto Fire Services (TFS) Apparatus Compartment Roll up Doors,Dependable Truck and Tank LTD,316716.0,,competitive,09/15/2021,CAD
2,SR3348545062 WS3348758561,Purchasing & Materials Management,For the supply and delivery of Type A Rapid Aid Splash Disposable face Shields needed to support the continued response to the Emergency of COVID-19 Pandemic.,Outdoor Outfits,316000.0,02/03/2022,non-competitive,,CAD
167,11375,Information & Technology,"For the provision of software support and maintenance services for the period from January 1, 2021, to December 31, 2021, all in accordance with the signed Software License Agreement Amendment No.3 dated May 29, 2015, and with the vendor's Software Maintenance & Support Services Quote dated September 1, 2020.",SOFTWARE AG (CANADA) INC,315367.09,01/05/2021,non-competitive,,CAD
813,10401,Information & Technology,Renewal - for the annual support and maintenance of WebMethods Software,SOFTWARE AG (CANADA) INC,315335.56,02/03/2020,non-competitive,,CAD
1119,GM8.8,Information & Technology,for the 2019 annual software support and maintenance,CSDC SYSTEMS INC,315056.9,12/27/2018,non-competitive,,CAD
556,11157,Public Health,"AMENDMENT # 1 - October 15, 2020 (NCP 11157),Added line item 20 in the amount of $180,000 to continue the consultant services for the COVID-19 Recovery and Rebuilding Project as required by the City#s Medical Officer of Health and as per Amending Agreement dated July 31, 2020."," MOWAT, DAVID L ",315000.0,10/22/2020,non-competitive,,CAD
1167,9382,Toronto Water,"For the provision of the removal and disposal of materials to an appropriate MOECC licensed waste disposal facility as per vendor's invoice J006011 dated October 23, 2018.",GFL Environmental Inc.,314527.5,11/12/2018,non-competitive,,CAD
1260,9246,Toronto Water,"For the provision of one-time emergency repairs to the exterior of Richview Reservoir (located at 551,Martin Grove Rd., Etobicoke)",AINSWORTH INC,313950.0,05/24/2018,non-competitive,,CAD
1595,8520,Transportation Services,"Provision of Design and Construction of the intersection at Front Street West and Bay Street all in accordance with the signed 'Letter Agreement' dated April 30, 2016.",Toronto Transit Commission,311174.0,08/19/2016,non-competitive,,CAD
559,11165,Purchasing & Materials Management,"AMENDMENT No. 3 October 19, 2020 (NCPR 11165),Extended the validity date from to August 31, 2020 to November 30, 2020 with no change in the total contract value.", ERNST & YOUNG LLP ,310000.0,10/19/2020,non-competitive,,CAD
1867,8511,Information & Technology,"Provision of WEM Solutions Architect for the period from October 21, 2014 to October 21, 2015.",Open Text Corporation,309400.0,10/22/2014,non-competitive,,CAD
1169,GM8.8,Information & Technology,Renewal - or the annual support and maintenance of WebMethods Software,SOFTWARE AG (CANADA) INC,309152.51,11/08/2018,non-competitive,,CAD
2115,8301,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013",LANS CONSTRUCTION & CONTRACTING LTD,309120.0,01/14/2014,non-competitive,,CAD
2117,8288,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013",HUMBERVIEW MAINTENANCE GROUP LTD,309120.0,01/10/2014,non-competitive,,CAD
2057,8326,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013","1654619 ONTARIO INC, O/A J-ROCK INC",307776.0,01/18/2014,non-competitive,,CAD
1333,GM8.8,Information & Technology,"To add line items 200-290 in the total amount of $305,880.49, net of all taxes and charges, for the 2018 annual software support and maintenance.",CSDC SYSTEMS INC,305880.49,12/28/2017,non-competitive,,CAD
1713,8683,Toronto Water,"Amended contract to increase the target value of the by $305,045.00 from $150,000.00 to $455,045.00, net of all taxes and charges, and to extend validity date to December 31, 2015 in order to pay outstanding invoices for additional services due to extreme weather conditions during the winter of 2015.",MTM Landscaping Contractors Inc.,305045.0,12/10/2015,non-competitive,,CAD
1395,9041,Engineering & Construction Services - Engineering Services,"For the provision of professional consulting, design and construction administration services for the Glenwood Crescent slope erosion and partial road failure restoration.",Cole EngineeringGroup Ltd.,304090.36,09/06/2017,non-competitive,,CAD
2036,8342,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013.",Summerset General Contracting Ltd.,302400.0,02/11/2014,non-competitive,,CAD
2055,8346,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013",PAVE-1 CONSTRUCTION LTD,302400.0,01/13/2014,non-competitive,,CAD
1338,GM8.8,Information & Technology,"Amendment - To add line Item 030 in the amount of $300,148.07, net of all taxes, for the annual support and maintenance of WebMethods Software for the period from January 1, 2018 to December 31, 2018.",SOFTWARE AG (CANADA) INC,300148.07,12/21/2017,non-competitive,,CAD
317,11467,Human Resources,"For the provision of professional recruitment services to staff immunization/vaccination clinics due to the COVID-19 Pandemic for the City of Toronto, all in accordance with the Services Agreement made as of March 17, 2021.",Wilson HCG Canada Inc.,300000.0,03/01/2021,non-competitive,,CAD
1782,8457,Information & Technology,"Amendment - Increase purchase order value by $300,000.00 for Microsoft Windows XP support Service Pack 3 is being extended from April 15, 2015 to April 12, 2016",MICROSOFT CANADA INC,300000.0,04/13/2015,non-competitive,,CAD
351,11468,Human Resources,"For the provision of professional recruitment services to staff immunization/vaccination clinics due to the COVID-19 Pandemic for the City of Toronto, all in accordance with the Agreement effective February 24, 2021.",Quantum Management Services,300000.0,02/24/2021,non-competitive,,CAD
679,10615,Facilities Operations,For the provision of consulting services for TransformTO's Energy Management Program.,PURPOSE BUILDING,300000.0,05/01/2020,non-competitive,,CAD
335,11419,Human Resources,"For the provision of professional recruitment services to staff immunization/vaccination clinics due to the COVID-19 Pandemic for the City of Toronto, all in accordance with the Agreement effective February 24, 2021.",Drake International Inc.,300000.0,02/24/2021,non-competitive,,CAD
1772,8600,Toronto Water,"The target value of the contract has been increased from $400,000.00 by $300,000.00 to now read as $700,000.00 and the validity end date has been extended to July 31, 2015 from April 30, 2015 for the Utility locate services",QX LOCATES,300000.0,06/08/2015,non-competitive,,CAD
329,11469,Human Resources,"For the provision of professional recruitment services to staff immunization/vaccination clinics due to the COVID-19 Pandemic for the City of Toronto, all in accordance with the Agreement effective February 24, 2021.",HR Associates Inc.,300000.0,02/24/2021,non-competitive,,CAD
808,10347,Real Estate Services,"For the supply of all labour, materials, equipment and supervision necessary to provide Inspections, Maintenance & Repairs to Heating, Ventilation & Air Conditioning Systems, Sheet Metal Fabrication & Installation at various locations within the City of Toronto for the SCARBOROUGH DISTRICT, Facilities Operations, Facilities Management Division from March 1, 2020 to July 31, 2020.",Ainsworth Inc.,300000.0,03/01/2020,non-competitive,,CAD
152,11629,"Shelter, Support & Housing Administration","For the provision of laundry services for the SSHA, for the period from April 1, 2021 to December 31, 2021, all in accordance with the signed agreement dated June 4, 2021.",COMFY COTTON DIAPER SERVICE INC,300000.0,04/04/2021,non-competitive,,CAD
515,10102,Transportation Services,"For the provision of the supply, printing, sealing and delivery of the renewal forms and Parking Permits for the OnStreet Permit Parking Program.",MOORE CANADA CORPORATION,300000.0,11/30/2020,non-competitive,,CAD
1557,8851,Fire Services,"or the supply and delivery of Wolf Pack Search Camera and related parts and accessories as and when required during the period from November 7, 2016 to December 31, 2018",EOMAX CORPORATION,300000.0,11/21/2016,non-competitive,,CAD
1519,GM8.8,Information & Technology,The renewal of the 2017 annual software support and maintenance. ,CSDC Systems Inc,296971.36,01/03/2017,non-competitive,,CAD
2430,2352559689(9118-20-5038),"Parks, Forestry & Recreation",air refrigeration facility systems ,DSR SYSTEMS,296776.8,,competitive,03/25/2021,CAD
780,10348,Information & Technology,"For the provision of resource for SAP Ariba Specialist (Pawan Agrawal) for the period from January 21, 2020 to January 21, 2021",Calian Ltd,296660.0,01/22/2020,non-competitive,,CAD
943,9845,"Parks, Forestry & Recreation",For the Non-Exclusive Supply and Delivery of Topsoil and other related Products as and when required to various locations within the City of Toronto. This bridging contract will be based on the same terms and conditions and pricing that were outlined in Contract # 47020004.,CLIFFORD'S HAULAGE LTD,295000.0,07/08/2019,non-competitive,,CAD
1218,GM16.8,Information & Technology,For the provision of the supply of cloud products,MICROSOFT CANADA INC,294015.0,08/31/2018,non-competitive,,CAD
1197,9342,Facilities Operations,"For the provision of construction services for Low Voltage Switchgear Commissioning at Union Station,located at 65 Front ST. West, Toronto, Ontario",KUDLAK-BAIRD 1982 LIMITED,293022.64,09/21/2018,non-competitive,,CAD
2122,8290,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013",INTERNATIONAL LANDSCAPING INC,292320.0,01/11/2014,non-competitive,,CAD
461,11383,Real Estate Services,"Amendment - For the non-exclusive supply of all labour, materials, equipment and supervision necessary to perform Preventative Maintenance and Service Calls for Boilers at various locations within the City of Toronto's South District, Facilities Operations, Corporate Real Estate Management Division",ACTIVE MECHANICAL SERVICES,290000.0,12/29/2020,non-competitive,,CAD
2138,8266 ,Solid Waste Management Services,"Emergency rental of 16 portable brush chippers for the period of 6 months from January 3, 2014 to June 30, 2014 as part of the Debris Management Plan due to the Ice Storm on December 21 & 22, 2013",VERMEER CANADA INC,288000.0,01/03/2014,non-competitive,,CAD
2024,8372,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013",CO-X-CO CONSTRUCTION LTD,285000.0,02/10/2014,non-competitive,,CAD
642,10973,Public Health,"Amendment No.4 - August 14, 2020 - Renewal (NCP #10973),Added Line Item 50 in the amount of $62,111.00, net of all taxes, for the annual renewal of the support and maintenance for the IBM software for the period from October 1, 2020 to September 30, 2021, all in accordance with the IBM Quote No. 27146428.",IBM CANADA LIMITED,284084.0,08/14/2020,non-competitive,,CAD
1866,GM32.20 and GM16.5,Information & Technology,"Amended Po to increase the value in the amount of $282,340.36 for the provision of Software Licence Maintenance, Application maintenance, user and upgrade support for software and integrated software for the period from July 1, 2014 to June 30, 2015.",The Active Network Ltd.,282340.36,10/22/2014,non-competitive,,CAD
1997,8377,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013",HUMBERVIEW MAINTENANCE GROUP LTD,282240.0,01/15/2014,non-competitive,,CAD
2016,8377,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013.",Humberview Maintenance Group Ltd.,282240.0,02/20/2014,non-competitive,,CAD
2118,8292,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013",M&S ARCHITECTURAL LTD,282240.0,01/12/2014,non-competitive,,CAD
1877,GM32.20 and GM16.5,Long-Term Care Homes & Services,"Amended PO to add line item 20, in the amount of $91,123.25, net of all taxes and charges, line item 30 in the amount of $93,179.41, net of all taxes and charges, and line item 40 in the amount of $95,338.38, net of all taxes and charges, for calendar years 2013, 2014 and 2015 Quatro Software Support & Maintenance.",Quatro Group Software Systems Inc.,279641.04,09/18/2014,non-competitive,,CAD
2184,8203,Engineering & Construction Services - Capital Works Delivery,To provide professional services for the Engineering Assessment of Wet Weather Flow (WWF) and Waterfront Sanitary Servicing Plan (WSSP) designs impact on a new Integrated Pumping Station at the Ashbridges Bay Treatment Plant,BLACK & VEATCH,278932.0,09/23/2013,non-competitive,,CAD
2407,Doc2871224079,- Choose one -,"Supply and Delivery of all Skilled Labour, Materials and Parts to Perform Maintenance and Repairs to Hydraulic Systems",Action Hydraulics Ltd.,278568.5,,competitive,06/02/2021,CAD
905,10074,Transportation Services,For the supply of Vectorial System bus platforms with an integrated cycling facility.,HALT EQUIPMENT INC,277398.0,09/04/2019,non-competitive,,CAD
2182,GM32.20 and GM16.5,Information & Technology,"Amendment - To increase the Purchase Order value by $276,098.02 (exclusive of taxes) for the provision of Software Licence Maintenance, Application Maintenance, user and upgrade support for software and integrated software for the period from July 1, 2013 to June 30, 2014",THE ACTIVE NETWORK LTD,276098.02,09/26/2013,non-competitive,,CAD
1881,8508,Information & Technology,To provide IT Professional Services for the Public Budget Formulation software upgrade from version 8.0 to 8.1,SAP CANADA INC,275157.23,09/12/2014,non-competitive,,CAD
1242,9236,Facilities Design & Construction,"For the provision of the supply of all labour, materials and equipment necessary to provide Minor Move Requests within Various City of Toronto Divisions, on an ""as and when"" required basis",GUARDIAN VAN LINES LIMITED,275000.0,07/09/2018,non-competitive,,CAD
1868,8514,Solid Waste Management Services,"Provision of the modular office complex at 35 Vanley Crescent all in accordance with Modspace Sales Areement No. 1246606 dated September 3, 2014.",Modspace Financial Services,273600.0,10/20/2014,non-competitive,,CAD
2168,GM32.20,Information & Technology,"Amendment - To increase the Purchase Order value by $272,390.30 (exclusive of taxes)for the provision of CSDC Software Support & Maintenance for the period from November 1, 2013 to October 31, 2014",CSDC SYSTEMS INC,272390.3,11/04/2013,non-competitive,,CAD
42,WS3147851257 / SR3102852940,Solid Waste Management Services,"Authority: GM27.6 adopted by City Council February 19, 2014,For Stormwater Management Pond Maintenance and Clean-out at Disco Road Organics Processing Facility (DROPF) ",TRCA - Toronto Region Conservation Authority,270825.78,12/09/2021,non-competitive,,CAD
1428,9034,Human Resources,"For the provision of short-term recruitment services for executive and senior management positions from May 23, 2017 to December 29, 2017, all in accordance with the legal agreement signed on May 2, 2017.",Odgers Berndtson Canada Inc.,270000.0,07/10/2017,non-competitive,,CAD
377,11508,Transportation Services,"For the provision of Cartêgraph Annual Software Subscription, Maintenance and Support Services during,the period January 1, 2021 to December 31, 2025",APPLIED GEOLOGICS INC,269374.51,02/22/2021,non-competitive,,CAD
2044,8330,Solid Waste Management Services,"For the Emergency supply of operators and equipment necessary to supplement work performed by City crews as part of the Debris Management Plan as a result of the Ice Storm on December 21 & 22, 2013.",Anga's Farm & Landscaping,268800.0,02/11/2014,non-competitive,,CAD
